Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
Science,🧠 Neuroscience,🧠,5,Apprentice,Emociones y el Cerebro,"Sistema límbico, amígdala",200,
Science,🧠 Neuroscience,🧠,6,Apprentice,El Sueño y los Sueños,"Ciclos REM, función reparadora",200,🥈 Silver Badge
Science,🧠 Neuroscience,🧠,7,Connoisseur,Neuroquímica,"Dopamina, serotonina, endorfinas",350,
Science,🧠 Neuroscience,🧠,8,Connoisseur,Trastornos Neurológicos,"Alzheimer, Parkinson, epilepsia",350,🥇 Gold Badge
Science,🧠 Neuroscience,🧠,9,Expert,Conciencia y Libre Albedrío,El misterio de la conciencia,500,
Science,🧠 Neuroscience,🧠,10,Expert,Neurotecnología del Futuro,"Interfaces cerebro-máquina, IA neural",500,💎 Diamond Badge
Technology,🤖 Inteligencia Artificial,🤖,1,Explorer,¿Qué es la IA?,"Conceptos básicos, historia",100,
Technology,🤖 Inteligencia Artificial,🤖,2,Explorer,Machine Learning 101,Aprendizaje supervisado y no supervisado,100,
Technology,🤖 Inteligencia Artificial,🤖,3,Explorer,Redes Neuronales,Cómo aprende una máquina,100,🥉 Bronze Badge
Technology,🤖 Inteligencia Artificial,🤖,4,Apprentice,Procesamiento del Lenguaje,"NLP, chatbots, traducción",200,
Technology,🤖 Inteligencia Artificial,🤖,5,Apprentice,Visión por Computador,Reconocimiento de imágenes,200,
Technology,🤖 Inteligencia Artificial,🤖,6,Apprentice,IA Generativa,"GPT, DALL-E, creación de contenido",200,🥈 Silver Badge
Technology,🤖 Inteligencia Artificial,🤖,7,Connoisseur,IA en la Industria,"Aplicaciones reales, transformación",350,
Technology,🤖 Inteligencia Artificial,🤖,8,Connoisseur,Ética de la IA,"Sesgos, privacidad, regulación",350,🥇 Gold Badge
Technology,🤖 Inteligencia Artificial,🤖,9,Expert,IA General (AGI),Camino hacia la superinteligencia,500,
Technology,🤖 Inteligencia Artificial,🤖,10,Expert,El Futuro IA-Humano,"Coexistencia, singularidad tecnológica",500,💎 Diamond Badge
Society,💰 Economía y Finanzas,💰,1,Explorer,Oferta y Demanda,Principios básicos del mercado,100,
Society,💰 Economía y Finanzas,💰,2,Explorer,El Dinero y la Banca,"Historia del dinero, sistema bancario",100,
Society,💰 Economía y Finanzas,💰,3,Explorer,Inflación y Precios,Por qué sube el coste de la vida,100,🥉 Bronze Badge
Society,💰 Economía y Finanzas,💰,4,Apprentice,Mercados Bursátiles,"Bolsa, acciones, índices",200,
Society,💰 Economía y Finanzas,💰,5,Apprentice,Comercio Internacional,"Globalización, aranceles, tratados",200,
Society,💰 Economía y Finanzas,💰,6,Apprentice,Criptomonedas y Blockchain,"Bitcoin, tecnología descentralizada",200,🥈 Silver Badge
Society,💰 Economía y Finanzas,💰,7,Connoisseur,Crisis Económicas,"Grandes recesiones, patrones",350,
Society,💰 Economía y Finanzas,💰,8,Connoisseur,Política Monetaria,"Bancos centrales, tipos de interés",350,🥇 Gold Badge
Society,💰 Economía y Finanzas,💰,9,Expert,Economía Conductual,Psicología de las decisiones financieras,500,
Society,💰 Economía y Finanzas,💰,10,Expert,El Futuro de la Economía,"Post-capitalismo, economía circular",500,💎 Diamond Badge
Nature,🐋 Biología Marina,🐋,1,Explorer,Los Océanos del Mundo,"Geografía oceánica, corrientes",100,
Nature,🐋 Biología Marina,🐋,2,Explorer,Arrecifes de Coral,"Ecosistemas submarinos, biodiversidad",100,
Nature,🐋 Biología Marina,🐋,3,Explorer,Grandes Mamíferos Marinos,"Ballenas, delfines, comunicación",100,🥉 Bronze Badge
Nature,🐋 Biología Marina,🐋,4,Apprentice,El Abismo: Vida en las Profundidades,"Criaturas abisales, bioluminiscencia",200,
Nature,🐋 Biología Marina,🐋,5,Apprentice,Tiburones: Depredadores del Mar,"Especies, mitos y realidades",200,
Nature,🐋 Biología Marina,🐋,6,Apprentice,Migraciones Oceánicas,"Rutas, instintos, supervivencia",200,🥈 Silver Badge
Nature,🐋 Biología Marina,🐋,7,Connoisseur,Contaminación Marina,"Plásticos, acidificación, soluciones",350,
Nature,🐋 Biología Marina,🐋,8,Connoisseur,Oceanografía y Clima,El océano como regulador climático,350,🥇 Gold Badge
Nature,🐋 Biología Marina,🐋,9,Expert,Biología Molecular Marina,Genética de organismos marinos,500,
Nature,🐋 Biología Marina,🐋,10,Expert,El Océano del Futuro,"Conservación, explotación sostenible",500,💎 Diamond Badge
Society,🧩 Psicología Humana,🧩,1,Explorer,Introducción a la Psicología,"Corrientes, Freud, conductismo",100,
Society,🧩 Psicología Humana,🧩,2,Explorer,Personalidad y Temperamento,"Big Five, tipos psicológicos",100,
Society,🧩 Psicología Humana,🧩,3,Explorer,Percepción y Atención,"Ilusiones, sesgos perceptivos",100,🥉 Bronze Badge
Society,🧩 Psicología Humana,🧩,4,Apprentice,Psicología Social,"Conformidad, obediencia, grupos",200,
Society,🧩 Psicología Humana,🧩,5,Apprentice,Motivación y Hábitos,"Ciclos de hábitos, motivación intrínseca",200,
Society,🧩 Psicología Humana,🧩,6,Apprentice,Toma de Decisiones,"Heurísticas, sesgos cognitivos",200,🥈 Silver Badge
Society,🧩 Psicología Humana,🧩,7,Connoisseur,Psicología del Desarrollo,"Infancia a vejez, etapas clave",350,
Society,🧩 Psicología Humana,🧩,8,Connoisseur,Trastornos Mentales,"Ansiedad, depresión, esquizofrenia",350,🥇 Gold Badge
Society,🧩 Psicología Humana,🧩,9,Expert,Psicología Positiva,"Flow, resiliencia, bienestar",500,
Society,🧩 Psicología Humana,🧩,10,Expert,Manipulación y Persuasión,"Técnicas, propaganda, defensa crítica",500,💎 Diamond Badge
Science,⚛️ Física Fundamental,⚛️,1,Explorer,Las Leyes de Newton,"Movimiento, fuerza, gravedad",100,
Science,⚛️ Física Fundamental,⚛️,2,Explorer,Energía y Termodinámica,"Conservación, calor, entropía",100,
Science,⚛️ Física Fundamental,⚛️,3,Explorer,Ondas y Sonido,"Vibraciones, frecuencia, música",100,🥉 Bronze Badge
Science,⚛️ Física Fundamental,⚛️,4,Apprentice,Electricidad y Magnetismo,"Campos, corriente, Maxwell",200,
Science,⚛️ Física Fundamental,⚛️,5,Apprentice,Relatividad de Einstein,"Espacio-tiempo, E=mc²",200,
Science,⚛️ Física Fundamental,⚛️,6,Apprentice,Física Nuclear,"Átomos, radiactividad, fisión",200,🥈 Silver Badge
Science,⚛️ Física Fundamental,⚛️,7,Connoisseur,Mecánica Cuántica,"Dualidad onda-partícula, incertidumbre",350,
Science,⚛️ Física Fundamental,⚛️,8,Connoisseur,Partículas Subatómicas,"Quarks, bosón de Higgs, modelo estándar",350,🥇 Gold Badge
Science,⚛️ Física Fundamental,⚛️,9,Expert,Teoría de Cuerdas,"Dimensiones extra, unificación",500,
Science,⚛️ Física Fundamental,⚛️,10,Expert,Los Misterios Sin Resolver,"Gravedad cuántica, multiverso",500,💎 Diamond Badge
Humanities,💭 Filosofía,💭,1,Explorer,Sócrates y el Arte de Preguntar,"Método socrático, mayéutica",100,
Humanities,💭 Filosofía,💭,2,Explorer,Platón y las Ideas,"Mundo ideal, alegoría de la caverna",100,
Humanities,💭 Filosofía,💭,3,Explorer,Aristóteles: Lógica y Ética,"Silogismo, virtud, eudaimonía",100,🥉 Bronze Badge
Humanities,💭 Filosofía,💭,4,Apprentice,Filosofía Medieval,"San Agustín, Santo Tomás, fe y razón",200,
Humanities,💭 Filosofía,💭,5,Apprentice,Racionalismo vs Empirismo,"Descartes, Hume, conocimiento",200,
Humanities,💭 Filosofía,💭,6,Apprentice,Kant y la Ilustración,"Imperativo categórico, crítica",200,🥈 Silver Badge
Humanities,💭 Filosofía,💭,7,Connoisseur,Existencialismo,"Nietzsche, Sartre, libertad radical",350,
Humanities,💭 Filosofía,💭,8,Connoisseur,Filosofía Oriental,"Confucio, Buda, Lao-Tse",350,🥇 Gold Badge
Humanities,💭 Filosofía,💭,9,Expert,Filosofía del Lenguaje y la Mente,"Wittgenstein, conciencia, IA",500,
Humanities,💭 Filosofía,💭,10,Expert,Ética Contemporánea,"Bioética, justicia global, transhumanismo",500,💎 Diamond Badge
Science,🧬 Evolución y Genética,🧬,1,Explorer,Darwin y la Selección Natural,"Teoría de la evolución, Galápagos",100,
Science,🧬 Evolución y Genética,🧬,2,Explorer,ADN: El Código de la Vida,"Estructura, genes, cromosomas",100,
Science,🧬 Evolución y Genética,🧬,3,Explorer,Herencia y Mendel,"Leyes de la herencia, rasgos",100,🥉 Bronze Badge
Science,🧬 Evolución y Genética,🧬,4,Apprentice,Evolución Humana,Australopithecus a Homo sapiens,200,
Science,🧬 Evolución y Genética,🧬,5,Apprentice,Mutaciones y Adaptación,Motor del cambio evolutivo,200,
Science,🧬 Evolución y Genética,🧬,6,Apprentice,Extinción y Especiación,"Extinciones masivas, nueva vida",200,🥈 Silver Badge
Science,🧬 Evolución y Genética,🧬,7,Connoisseur,Genómica y Proteómica,"Proyecto Genoma, secuenciación",350,
Science,🧬 Evolución y Genética,🧬,8,Connoisseur,Epigenética,Genes que se encienden y apagan,350,🥇 Gold Badge
Science,🧬 Evolución y Genética,🧬,9,Expert,CRISPR y Edición Genética,"Terapia génica, bebés diseñados",500,
Science,🧬 Evolución y Genética,🧬,10,Expert,Biología Sintética,"Crear vida artificial, futuro genético",500,💎 Diamond Badge
Society,🌍 Geopolítica Mundial,🌍,1,Explorer,¿Qué es la Geopolítica?,"Conceptos, poder, territorios",100,
Society,🌍 Geopolítica Mundial,🌍,2,Explorer,Las Grandes Potencias,"EE.UU., China, Rusia, UE",100,
Society,🌍 Geopolítica Mundial,🌍,3,Explorer,Conflictos Territoriales,"Fronteras disputadas, recursos",100,🥉 Bronze Badge
Society,🌍 Geopolítica Mundial,🌍,4,Apprentice,La Guerra Fría,"Bipolaridad, proxy wars, caída del muro",200,
Society,🌍 Geopolítica Mundial,🌍,5,Apprentice,Oriente Medio,"Petróleo, religión, conflictos",200,
Society,🌍 Geopolítica Mundial,🌍,6,Apprentice,El Ascenso de China,"Ruta de la Seda, influencia global",200,🥈 Silver Badge
Society,🌍 Geopolítica Mundial,🌍,7,Connoisseur,Organizaciones Internacionales,"ONU, OTAN, G20, poder blando",350,
Society,🌍 Geopolítica Mundial,🌍,8,Connoisseur,Ciberguerra y Espionaje,"Guerra híbrida, desinformación",350,🥇 Gold Badge
Society,🌍 Geopolítica Mundial,🌍,9,Expert,Recursos y Guerras del Futuro,"Agua, litio, tierras raras",500,
Society,🌍 Geopolítica Mundial,🌍,10,Expert,Nuevo Orden Mundial,"Multipolaridad, escenarios 2050",500,💎 Diamond Badge
Humanities,🎨 Arte y Grandes Maestros,🎨,1,Explorer,Arte Prehistórico y Antiguo,"Altamira, Egipto, Grecia",100,
Humanities,🎨 Arte y Grandes Maestros,🎨,2,Explorer,El Renacimiento,"Da Vinci, Miguel Ángel, Botticelli",100,
Humanities,🎨 Arte y Grandes Maestros,🎨,3,Explorer,Barroco y Clasicismo,"Caravaggio, Velázquez, Rembrandt",100,🥉 Bronze Badge
Humanities,🎨 Arte y Grandes Maestros,🎨,4,Apprentice,Impresionismo,"Monet, Renoir, luz y color",200,
Humanities,🎨 Arte y Grandes Maestros,🎨,5,Apprentice,Vanguardias del Siglo XX,"Picasso, Dalí, Kandinsky",200,
Humanities,🎨 Arte y Grandes Maestros,🎨,6,Apprentice,Arte Contemporáneo,"Pop Art, minimalismo, Banksy",200,🥈 Silver Badge
Humanities,🎨 Arte y Grandes Maestros,🎨,7,Connoisseur,Fotografía como Arte,"Historia, maestros, revolución digital",350,
Humanities,🎨 Arte y Grandes Maestros,🎨,8,Connoisseur,Grandes Museos del Mundo,"Louvre, MoMA, Prado, Hermitage",350,🥇 Gold Badge
Humanities,🎨 Arte y Grandes Maestros,🎨,9,Expert,El Mercado del Arte,"Subastas, falsificaciones, inversión",500,
Humanities,🎨 Arte y Grandes Maestros,🎨,10,Expert,Arte y Tecnología: IA Creativa,"Arte generativo, NFTs, debate",500,💎 Diamond Badge
Nature,🌡️ Cambio Climático,🌡️,1,Explorer,El Efecto Invernadero,"CO₂, gases, calentamiento",100,
Nature,🌡️ Cambio Climático,🌡️,2,Explorer,Historia del Clima en la Tierra,"Eras glaciales, ciclos naturales",100,
Nature,🌡️ Cambio Climático,🌡️,3,Explorer,Impacto Humano,"Industria, transporte, deforestación",100,🥉 Bronze Badge
Nature,🌡️ Cambio Climático,🌡️,4,Apprentice,Deshielo y Nivel del Mar,"Polos, glaciares, ciudades en riesgo",200,
Nature,🌡️ Cambio Climático,🌡️,5,Apprentice,Fenómenos Extremos,"Huracanes, sequías, olas de calor",200,
Nature,🌡️ Cambio Climático,🌡️,6,Apprentice,Biodiversidad Amenazada,"Sexta extinción, ecosistemas en peligro",200,🥈 Silver Badge
Nature,🌡️ Cambio Climático,🌡️,7,Connoisseur,Energías Renovables,"Solar, eólica, hidrógeno verde",350,
Nature,🌡️ Cambio Climático,🌡️,8,Connoisseur,Acuerdos y Política Climática,"París, COP, compromisos nacionales",350,🥇 Gold Badge
Nature,🌡️ Cambio Climático,🌡️,9,Expert,Geoingeniería,"Soluciones radicales, riesgos",500,
Nature,🌡️ Cambio Climático,🌡️,10,Expert,Escenarios 2050-2100,"Modelos climáticos, futuros posibles",500,💎 Diamond Badge
History,🧭 Exploración y Aventura,🧭,1,Explorer,Los Grandes Navegantes,"Colón, Magallanes, Vasco de Gama",100,
History,🧭 Exploración y Aventura,🧭,2,Explorer,Conquista de los Polos,"Amundsen, Scott, Shackleton",100,
History,🧭 Exploración y Aventura,🧭,3,Explorer,Exploradores del Mundo Antiguo,"Marco Polo, Ibn Battuta, Zheng He",100,🥉 Bronze Badge
History,🧭 Exploración y Aventura,🧭,4,Apprentice,La Carrera Espacial,"Gagarin, Apollo 11, MIR",200,
History,🧭 Exploración y Aventura,🧭,5,Apprentice,Expediciones Submarinas,"Cousteau, Mariana, océanos profundos",200,
History,🧭 Exploración y Aventura,🧭,6,Apprentice,Exploración de Selvas y Desiertos,"Amazonia, Sahara, expediciones perdidas",200,🥈 Silver Badge
History,🧭 Exploración y Aventura,🧭,7,Connoisseur,Montañismo Extremo,"Everest, K2, historia alpina",350,
History,🧭 Exploración y Aventura,🧭,8,Connoisseur,Arqueología Aventurera,"Tutankamón, Machu Picchu, Pompeya",350,🥇 Gold Badge
History,🧭 Exploración y Aventura,🧭,9,Expert,Exploración Robótica,"Marte, drones submarinos, cuevas",500,
History,🧭 Exploración y Aventura,🧭,10,Expert,Próximas Fronteras,"Colonización espacial, océano profundo",500,💎 Diamond Badge
Health,🥗 Nutrición y Alimentación,🥗,1,Explorer,Macronutrientes,"Proteínas, carbohidratos, grasas",100,
Health,🥗 Nutrición y Alimentación,🥗,2,Explorer,Vitaminas y Minerales,Micronutrientes esenciales,100,
Health,🥗 Nutrición y Alimentación,🥗,3,Explorer,Digestión y Metabolismo,Cómo tu cuerpo procesa los alimentos,100,🥉 Bronze Badge
Health,🥗 Nutrición y Alimentación,🥗,4,Apprentice,Dietas del Mundo,"Mediterránea, asiática, nórdica",200,
Health,🥗 Nutrición y Alimentación,🥗,5,Apprentice,Mitos Nutricionales,Desmentir creencias falsas,200,
Health,🥗 Nutrición y Alimentación,🥗,6,Apprentice,Microbioma Intestinal,"Bacterias buenas, segundo cerebro",200,🥈 Silver Badge
Health,🥗 Nutrición y Alimentación,🥗,7,Connoisseur,Nutrición Deportiva,"Rendimiento, suplementos, recuperación",350,
Health,🥗 Nutrición y Alimentación,🥗,8,Connoisseur,Alimentos del Futuro,"Insectos, carne de laboratorio, algas",350,🥇 Gold Badge
Health,🥗 Nutrición y Alimentación,🥗,9,Expert,Nutrigenómica,ADN y alimentación personalizada,500,
Health,🥗 Nutrición y Alimentación,🥗,10,Expert,Hambre Global y Sostenibilidad,"Seguridad alimentaria, soluciones",500,💎 Diamond Badge
Humanities,🎵 Música: Historia y Teoría,🎵,1,Explorer,Los Orígenes de la Música,"Instrumentos prehistóricos, primeras melodías",100,
Humanities,🎵 Música: Historia y Teoría,🎵,2,Explorer,Música Clásica: Los Grandes,"Bach, Mozart, Beethoven",100,
Humanities,🎵 Música: Historia y Teoría,🎵,3,Explorer,"Ritmo, Melodía y Armonía",Fundamentos de la teoría musical,100,🥉 Bronze Badge
Humanities,🎵 Música: Historia y Teoría,🎵,4,Apprentice,Jazz y Blues,"Nueva Orleans, improvisación, soul",200,
Humanities,🎵 Música: Historia y Teoría,🎵,5,Apprentice,Rock and Roll,"Elvis, Beatles, revolución cultural",200,
Humanities,🎵 Música: Historia y Teoría,🎵,6,Apprentice,Música Electrónica,"Sintetizadores, DJs, géneros",200,🥈 Silver Badge
Humanities,🎵 Música: Historia y Teoría,🎵,7,Connoisseur,Música del Mundo,"Flamenco, raga, samba, gamelan",350,
Humanities,🎵 Música: Historia y Teoría,🎵,8,Connoisseur,La Industria Musical,"Discográficas, streaming, negocio",350,🥇 Gold Badge
Humanities,🎵 Música: Historia y Teoría,🎵,9,Expert,Neurociencia de la Música,Por qué la música nos emociona,500,
Humanities,🎵 Música: Historia y Teoría,🎵,10,Expert,IA y Composición Musical,"Algoritmos creativos, futuro sonoro",500,💎 Diamond Badge
Nature,🌋 Volcanes y Terremotos,🌋,1,Explorer,La Tierra por Dentro,"Capas, núcleo, manto, corteza",100,
Nature,🌋 Volcanes y Terremotos,🌋,2,Explorer,Tectónica de Placas,"Placas en movimiento, pangea",100,
Nature,🌋 Volcanes y Terremotos,🌋,3,Explorer,Volcanes: Tipos y Erupciones,"Escudo, estrato, fisurales",100,🥉 Bronze Badge
Nature,🌋 Volcanes y Terremotos,🌋,4,Apprentice,Grandes Erupciones de la Historia,"Pompeya, Krakatoa, Pinatubo",200,
Nature,🌋 Volcanes y Terremotos,🌋,5,Apprentice,Terremotos y Tsunamis,"Escalas, ondas sísmicas, prevención",200,
Nature,🌋 Volcanes y Terremotos,🌋,6,Apprentice,El Cinturón de Fuego,"Pacífico, zonas sísmicas activas",200,🥈 Silver Badge
Nature,🌋 Volcanes y Terremotos,🌋,7,Connoisseur,Geotermia y Recursos,"Energía volcánica, minerales",350,
Nature,🌋 Volcanes y Terremotos,🌋,8,Connoisseur,Supervolcanes,"Yellowstone, Toba, amenazas globales",350,🥇 Gold Badge
Nature,🌋 Volcanes y Terremotos,🌋,9,Expert,Predicción Sísmica,"Tecnología, IA, sistemas de alerta",500,
Nature,🌋 Volcanes y Terremotos,🌋,10,Expert,Geología Planetaria,"Volcanes en Marte, Ío, Venus",500,💎 Diamond Badge
Technology,🔐 Criptografía y Ciberseguridad,🔐,1,Explorer,Historia de los Códigos Secretos,"César, Enigma, espionaje",100,
Technology,🔐 Criptografía y Ciberseguridad,🔐,2,Explorer,Criptografía Moderna,"RSA, AES, claves públicas",100,
Technology,🔐 Criptografía y Ciberseguridad,🔐,3,Explorer,Internet y Seguridad Básica,"HTTPS, contraseñas, phishing",100,🥉 Bronze Badge
Technology,🔐 Criptografía y Ciberseguridad,🔐,4,Apprentice,Hackers: Mitos y Realidad,"White/black hat, ciberataques famosos",200,
Technology,🔐 Criptografía y Ciberseguridad,🔐,5,Apprentice,Malware y Ransomware,"Virus, troyanos, protección",200,
Technology,🔐 Criptografía y Ciberseguridad,🔐,6,Apprentice,Ingeniería Social,"Manipulación, pretexting, defensa",200,🥈 Silver Badge
Technology,🔐 Criptografía y Ciberseguridad,🔐,7,Connoisseur,Blockchain y Seguridad,"Descentralización, contratos inteligentes",350,
Technology,🔐 Criptografía y Ciberseguridad,🔐,8,Connoisseur,Ciberguerra Estatal,"Stuxnet, espionaje digital, naciones",350,🥇 Gold Badge
Technology,🔐 Criptografía y Ciberseguridad,🔐,9,Expert,Criptografía Cuántica,Computación cuántica vs cifrado actual,500,
Technology,🔐 Criptografía y Ciberseguridad,🔐,10,Expert,Privacidad Digital Total,"Anonimato, Tor, futuro de la privacidad",500,💎 Diamond Badge
Health,🏥 Medicina y Cuerpo Humano,🏥,1,Explorer,Anatomía Básica,"Sistemas del cuerpo, órganos vitales",100,
Health,🏥 Medicina y Cuerpo Humano,🏥,2,Explorer,El Sistema Inmunológico,"Defensas, anticuerpos, vacunas",100,
Health,🏥 Medicina y Cuerpo Humano,🏥,3,Explorer,Historia de la Medicina,"Hipócrates, penicilina, cirugía",100,🥉 Bronze Badge
Health,🏥 Medicina y Cuerpo Humano,🏥,4,Apprentice,Pandemias de la Historia,"Peste negra, gripe española, COVID",200,
Health,🏥 Medicina y Cuerpo Humano,🏥,5,Apprentice,Cáncer: Batalla Interna,"Tipos, causas, tratamientos",200,
Health,🏥 Medicina y Cuerpo Humano,🏥,6,Apprentice,Farmacología Básica,Cómo funcionan los medicamentos,200,🥈 Silver Badge
Health,🏥 Medicina y Cuerpo Humano,🏥,7,Connoisseur,Cirugía Robótica,"Da Vinci, precisión, futuro quirúrgico",350,
Health,🏥 Medicina y Cuerpo Humano,🏥,8,Connoisseur,Terapias Génicas,Editar ADN para curar enfermedades,350,🥇 Gold Badge
Health,🏥 Medicina y Cuerpo Humano,🏥,9,Expert,Neurociencia Médica,"Implantes cerebrales, neuroestimulación",500,
Health,🏥 Medicina y Cuerpo Humano,🏥,10,Expert,Longevidad y Anti-aging,"Telómeros, senoterapia, vivir más",500,💎 Diamond Badge
Humanities,⚡ Mitología Universal,⚡,1,Explorer,Mitología Griega,"Zeus, Odisea, héroes y monstruos",100,
Humanities,⚡ Mitología Universal,⚡,2,Explorer,Mitología Nórdica,"Odín, Thor, Ragnarök",100,
Humanities,⚡ Mitología Universal,⚡,3,Explorer,Mitología Egipcia,"Ra, Osiris, el más allá",100,🥉 Bronze Badge
Humanities,⚡ Mitología Universal,⚡,4,Apprentice,Mitología Romana,"Adaptación griega, fundación de Roma",200,
Humanities,⚡ Mitología Universal,⚡,5,Apprentice,Mitología Mesopotámica,"Gilgamesh, diluvio, creación",200,
Humanities,⚡ Mitología Universal,⚡,6,Apprentice,Mitología Celta y Artúrica,"Druidas, Avalon, Excalibur",200,🥈 Silver Badge
Humanities,⚡ Mitología Universal,⚡,7,Connoisseur,Mitología Asiática,"Hinduismo, budismo, dragones chinos",350,
Humanities,⚡ Mitología Universal,⚡,8,Connoisseur,Mitología Mesoamericana,"Quetzalcóatl, Popol Vuh, cosmos maya",350,🥇 Gold Badge
Humanities,⚡ Mitología Universal,⚡,9,Expert,Arquetipos y Jung,"Inconsciente colectivo, el héroe",500,
Humanities,⚡ Mitología Universal,⚡,10,Expert,Mitos Modernos,"Superhéroes, Star Wars, nuevas mitologías",500,💎 Diamond Badge
Technology,🦾 Robótica e Ingeniería,🦾,1,Explorer,Historia de los Autómatas,"Da Vinci, relojería, primeros robots",100,
Technology,🦾 Robótica e Ingeniería,🦾,2,Explorer,Mecánica Básica de Robots,"Sensores, actuadores, control",100,
Technology,🦾 Robótica e Ingeniería,🦾,3,Explorer,Robots en la Industria,"Manufactura, logística, automatización",100,🥉 Bronze Badge
Technology,🦾 Robótica e Ingeniería,🦾,4,Apprentice,Drones y Vehículos Autónomos,"Coches sin conductor, delivery",200,
Technology,🦾 Robótica e Ingeniería,🦾,5,Apprentice,Robots Humanoides,"Boston Dynamics, Atlas, Sophia",200,
Technology,🦾 Robótica e Ingeniería,🦾,6,Apprentice,Biomimética,Robots inspirados en la naturaleza,200,🥈 Silver Badge
Technology,🦾 Robótica e Ingeniería,🦾,7,Connoisseur,Prótesis y Exoesqueletos,"Bionics, manos robóticas, movilidad",350,
Technology,🦾 Robótica e Ingeniería,🦾,8,Connoisseur,Robótica Espacial,"Rovers, ISS, reparaciones en órbita",350,🥇 Gold Badge
Technology,🦾 Robótica e Ingeniería,🦾,9,Expert,Nanorobots,"Medicina microscópica, ensamblaje molecular",500,
Technology,🦾 Robótica e Ingeniería,🦾,10,Expert,Robots Conscientes,"IA embodied, derechos de robots, ética",500,💎 Diamond Badge
History,⚔️ Guerras Mundiales,⚔️,1,Explorer,Causas de la Gran Guerra,"Alianzas, imperialismo, Sarajevo",100,
History,⚔️ Guerras Mundiales,⚔️,2,Explorer,Trincheras: WWI,"Guerra de desgaste, gas, Somme",100,
History,⚔️ Guerras Mundiales,⚔️,3,Explorer,El Tratado de Versalles,"Consecuencias, humillación, semillas",100,🥉 Bronze Badge
History,⚔️ Guerras Mundiales,⚔️,4,Apprentice,Ascenso del Nazismo,"Hitler, propaganda, Tercer Reich",200,
History,⚔️ Guerras Mundiales,⚔️,5,Apprentice,Batallas Decisivas WWII,"Stalingrado, Midway, Normandía",200,
History,⚔️ Guerras Mundiales,⚔️,6,Apprentice,El Holocausto,"Genocidio, campos, memoria",200,🥈 Silver Badge
History,⚔️ Guerras Mundiales,⚔️,7,Connoisseur,El Frente del Pacífico,"Pearl Harbor, Iwo Jima, Hiroshima",350,
