Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
Tecnologia,🤖 Inteligencia Artificial,🤖,2,Esploratore,Machine Learning 101,Aprendizaje supervisado y no supervisado,100,
Tecnologia,🤖 Inteligencia Artificial,🤖,3,Esploratore,Redes Neuronales,Cómo aprende una máquina,100,🥉 Distintivo di Bronzo
Tecnologia,🤖 Inteligencia Artificial,🤖,4,Apprendista,Procesamiento del Lenguaje,"NLP, chatbots, traducción",200,
Tecnologia,🤖 Inteligencia Artificial,🤖,5,Apprendista,Visión por Computador,Reconocimiento de imágenes,200,
Tecnologia,🤖 Inteligencia Artificial,🤖,6,Apprendista,IA Generativa,"GPT, DALL-E, creación de contenido",200,🥈 Distintivo d'Argento
Tecnologia,🤖 Inteligencia Artificial,🤖,7,Intenditore,IA en la Industria,"Aplicaciones reales, transformación",350,
Tecnologia,🤖 Inteligencia Artificial,🤖,8,Intenditore,Ética de la IA,"Sesgos, privacidad, regulación",350,🥇 Distintivo d'Oro
Tecnologia,🤖 Inteligencia Artificial,🤖,9,Esperto,IA General (AGI),Camino hacia la superinteligencia,500,
Tecnologia,🤖 Inteligencia Artificial,🤖,10,Esperto,El Futuro IA-Humano,"Coexistencia, singularidad tecnológica",500,💎 Distintivo di Diamante
Società,💰 Economía y Finanzas,💰,1,Esploratore,Oferta y Demanda,Principios básicos del mercado,100,
Società,💰 Economía y Finanzas,💰,2,Esploratore,El Dinero y la Banca,"Historia del dinero, sistema bancario",100,
Società,💰 Economía y Finanzas,💰,3,Esploratore,Inflación y Precios,Por qué sube el coste de la vida,100,🥉 Distintivo di Bronzo
Società,💰 Economía y Finanzas,💰,4,Apprendista,Mercados Bursátiles,"Bolsa, acciones, índices",200,
Società,💰 Economía y Finanzas,💰,5,Apprendista,Comercio Internacional,"Globalización, aranceles, tratados",200,
Società,💰 Economía y Finanzas,💰,6,Apprendista,Criptomonedas y Blockchain,"Bitcoin, tecnología descentralizada",200,🥈 Distintivo d'Argento
Società,💰 Economía y Finanzas,💰,7,Intenditore,Crisis Económicas,"Grandes recesiones, patrones",350,
Società,💰 Economía y Finanzas,💰,8,Intenditore,Política Monetaria,"Bancos centrales, tipos de interés",350,🥇 Distintivo d'Oro
Società,💰 Economía y Finanzas,💰,9,Esperto,Economía Conductual,Psicología de las decisiones financieras,500,
Società,💰 Economía y Finanzas,💰,10,Esperto,El Futuro de la Economía,"Post-capitalismo, economía circular",500,💎 Distintivo di Diamante
Natura,🐋 Biología Marina,🐋,1,Esploratore,Los Océanos del Mundo,"Geografía oceánica, corrientes",100,
Natura,🐋 Biología Marina,🐋,2,Esploratore,Arrecifes de Coral,"Ecosistemas submarinos, biodiversidad",100,
Natura,🐋 Biología Marina,🐋,3,Esploratore,Grandes Mamíferos Marinos,"Ballenas, delfines, comunicación",100,🥉 Distintivo di Bronzo
Natura,🐋 Biología Marina,🐋,4,Apprendista,El Abismo: Vida en las Profundidades,"Criaturas abisales, bioluminiscencia",200,
Natura,🐋 Biología Marina,🐋,5,Apprendista,Tiburones: Depredadores del Mar,"Especies, mitos y realidades",200,
Natura,🐋 Biología Marina,🐋,6,Apprendista,Migraciones Oceánicas,"Rutas, instintos, supervivencia",200,🥈 Distintivo d'Argento
Natura,🐋 Biología Marina,🐋,7,Intenditore,Contaminación Marina,"Plásticos, acidificación, soluciones",350,
Natura,🐋 Biología Marina,🐋,8,Intenditore,Oceanografía y Clima,El océano como regulador climático,350,🥇 Distintivo d'Oro
Natura,🐋 Biología Marina,🐋,9,Esperto,Biología Molecular Marina,Genética de organismos marinos,500,
Natura,🐋 Biología Marina,🐋,10,Esperto,El Océano del Futuro,"Conservación, explotación sostenible",500,💎 Distintivo di Diamante
Società,🧩 Psicología Humana,🧩,1,Esploratore,Introducción a la Psicología,"Corrientes, Freud, conductismo",100,
Società,🧩 Psicología Humana,🧩,2,Esploratore,Personalidad y Temperamento,"Big Five, tipos psicológicos",100,
Società,🧩 Psicología Humana,🧩,3,Esploratore,Percepción y Atención,"Ilusiones, sesgos perceptivos",100,🥉 Distintivo di Bronzo
Società,🧩 Psicología Humana,🧩,4,Apprendista,Psicología Social,"Conformidad, obediencia, grupos",200,
Società,🧩 Psicología Humana,🧩,5,Apprendista,Motivación y Hábitos,"Ciclos de hábitos, motivación intrínseca",200,
Società,🧩 Psicología Humana,🧩,6,Apprendista,Toma de Decisiones,"Heurísticas, sesgos cognitivos",200,🥈 Distintivo d'Argento
Società,🧩 Psicología Humana,🧩,7,Intenditore,Psicología del Desarrollo,"Infancia a vejez, etapas clave",350,
Società,🧩 Psicología Humana,🧩,8,Intenditore,Trastornos Mentales,"Ansiedad, depresión, esquizofrenia",350,🥇 Distintivo d'Oro
Società,🧩 Psicología Humana,🧩,9,Esperto,Psicología Positiva,"Flow, resiliencia, bienestar",500,
Società,🧩 Psicología Humana,🧩,10,Esperto,Manipulación y Persuasión,"Técnicas, propaganda, defensa crítica",500,💎 Distintivo di Diamante
Scienza,⚛️ Física Fundamental,⚛️,1,Esploratore,Las Leyes de Newton,"Movimiento, fuerza, gravedad",100,
Scienza,⚛️ Física Fundamental,⚛️,2,Esploratore,Energía y Termodinámica,"Conservación, calor, entropía",100,
Scienza,⚛️ Física Fundamental,⚛️,3,Esploratore,Ondas y Sonido,"Vibraciones, frecuencia, música",100,🥉 Distintivo di Bronzo
Scienza,⚛️ Física Fundamental,⚛️,4,Apprendista,Electricidad y Magnetismo,"Campos, corriente, Maxwell",200,
Scienza,⚛️ Física Fundamental,⚛️,5,Apprendista,Relatividad de Einstein,"Espacio-tiempo, E=mc²",200,
Scienza,⚛️ Física Fundamental,⚛️,6,Apprendista,Física Nuclear,"Átomos, radiactividad, fisión",200,🥈 Distintivo d'Argento
Scienza,⚛️ Física Fundamental,⚛️,7,Intenditore,Mecánica Cuántica,"Dualidad onda-partícula, incertidumbre",350,
Scienza,⚛️ Física Fundamental,⚛️,8,Intenditore,Partículas Subatómicas,"Quarks, bosón de Higgs, modelo estándar",350,🥇 Distintivo d'Oro
Scienza,⚛️ Física Fundamental,⚛️,9,Esperto,Teoría de Cuerdas,"Dimensiones extra, unificación",500,
Scienza,⚛️ Física Fundamental,⚛️,10,Esperto,Los Misterios Sin Resolver,"Gravedad cuántica, multiverso",500,💎 Distintivo di Diamante
Umanistiche,💭 Filosofía,💭,1,Esploratore,Sócrates y el Arte de Preguntar,"Método socrático, mayéutica",100,
Umanistiche,💭 Filosofía,💭,2,Esploratore,Platón y las Ideas,"Mundo ideal, alegoría de la caverna",100,
Umanistiche,💭 Filosofía,💭,3,Esploratore,Aristóteles: Lógica y Ética,"Silogismo, virtud, eudaimonía",100,🥉 Distintivo di Bronzo
Umanistiche,💭 Filosofía,💭,4,Apprendista,Filosofía Medieval,"San Agustín, Santo Tomás, fe y razón",200,
Umanistiche,💭 Filosofía,💭,5,Apprendista,Racionalismo vs Empirismo,"Descartes, Hume, conocimiento",200,
Umanistiche,💭 Filosofía,💭,6,Apprendista,Kant y la Ilustración,"Imperativo categórico, crítica",200,🥈 Distintivo d'Argento
Umanistiche,💭 Filosofía,💭,7,Intenditore,Existencialismo,"Nietzsche, Sartre, libertad radical",350,
Umanistiche,💭 Filosofía,💭,8,Intenditore,Filosofía Oriental,"Confucio, Buda, Lao-Tse",350,🥇 Distintivo d'Oro
Umanistiche,💭 Filosofía,💭,9,Esperto,Filosofía del Lenguaje y la Mente,"Wittgenstein, conciencia, IA",500,
Umanistiche,💭 Filosofía,💭,10,Esperto,Ética Contemporánea,"Bioética, justicia global, transhumanismo",500,💎 Distintivo di Diamante
Scienza,🧬 Evolución y Genética,🧬,1,Esploratore,Darwin y la Selección Natural,"Teoría de la evolución, Galápagos",100,
Scienza,🧬 Evolución y Genética,🧬,2,Esploratore,ADN: El Código de la Vida,"Estructura, genes, cromosomas",100,
Scienza,🧬 Evolución y Genética,🧬,3,Esploratore,Herencia y Mendel,"Leyes de la herencia, rasgos",100,🥉 Distintivo di Bronzo
Scienza,🧬 Evolución y Genética,🧬,4,Apprendista,Evolución Humana,Australopithecus a Homo sapiens,200,
Scienza,🧬 Evolución y Genética,🧬,5,Apprendista,Mutaciones y Adaptación,Motor del cambio evolutivo,200,
Scienza,🧬 Evolución y Genética,🧬,6,Apprendista,Extinción y Especiación,"Extinciones masivas, nueva vida",200,🥈 Distintivo d'Argento
Scienza,🧬 Evolución y Genética,🧬,7,Intenditore,Genómica y Proteómica,"Proyecto Genoma, secuenciación",350,
Scienza,🧬 Evolución y Genética,🧬,8,Intenditore,Epigenética,Genes que se encienden y apagan,350,🥇 Distintivo d'Oro
Scienza,🧬 Evolución y Genética,🧬,9,Esperto,CRISPR y Edición Genética,"Terapia génica, bebés diseñados",500,
Scienza,🧬 Evolución y Genética,🧬,10,Esperto,Biología Sintética,"Crear vida artificial, futuro genético",500,💎 Distintivo di Diamante
Società,🌍 Geopolítica Mundial,🌍,1,Esploratore,¿Qué es la Geopolítica?,"Conceptos, poder, territorios",100,
Società,🌍 Geopolítica Mundial,🌍,2,Esploratore,Las Grandes Potencias,"EE.UU., China, Rusia, UE",100,
Società,🌍 Geopolítica Mundial,🌍,3,Esploratore,Conflictos Territoriales,"Fronteras disputadas, recursos",100,🥉 Distintivo di Bronzo
Società,🌍 Geopolítica Mundial,🌍,4,Apprendista,La Guerra Fría,"Bipolaridad, proxy wars, caída del muro",200,
Società,🌍 Geopolítica Mundial,🌍,5,Apprendista,Oriente Medio,"Petróleo, religión, conflictos",200,
Società,🌍 Geopolítica Mundial,🌍,6,Apprendista,El Ascenso de China,"Ruta de la Seda, influencia global",200,🥈 Distintivo d'Argento
Società,🌍 Geopolítica Mundial,🌍,7,Intenditore,Organizaciones Internacionales,"ONU, OTAN, G20, poder blando",350,
Società,🌍 Geopolítica Mundial,🌍,8,Intenditore,Ciberguerra y Espionaje,"Guerra híbrida, desinformación",350,🥇 Distintivo d'Oro
Società,🌍 Geopolítica Mundial,🌍,9,Esperto,Recursos y Guerras del Futuro,"Agua, litio, tierras raras",500,
Società,🌍 Geopolítica Mundial,🌍,10,Esperto,Nuevo Orden Mundial,"Multipolaridad, escenarios 2050",500,💎 Distintivo di Diamante
Umanistiche,🎨 Arte y Grandes Maestros,🎨,1,Esploratore,Arte Prehistórico y Antiguo,"Altamira, Egipto, Grecia",100,
Umanistiche,🎨 Arte y Grandes Maestros,🎨,2,Esploratore,El Renacimiento,"Da Vinci, Miguel Ángel, Botticelli",100,
Umanistiche,🎨 Arte y Grandes Maestros,🎨,3,Esploratore,Barroco y Clasicismo,"Caravaggio, Velázquez, Rembrandt",100,🥉 Distintivo di Bronzo
Umanistiche,🎨 Arte y Grandes Maestros,🎨,4,Apprendista,Impresionismo,"Monet, Renoir, luz y color",200,
Umanistiche,🎨 Arte y Grandes Maestros,🎨,5,Apprendista,Vanguardias del Siglo XX,"Picasso, Dalí, Kandinsky",200,
Umanistiche,🎨 Arte y Grandes Maestros,🎨,6,Apprendista,Arte Contemporáneo,"Pop Art, minimalismo, Banksy",200,🥈 Distintivo d'Argento
Umanistiche,🎨 Arte y Grandes Maestros,🎨,7,Intenditore,Fotografía como Arte,"Historia, maestros, revolución digital",350,
Umanistiche,🎨 Arte y Grandes Maestros,🎨,8,Intenditore,Grandes Museos del Mundo,"Louvre, MoMA, Prado, Hermitage",350,🥇 Distintivo d'Oro
Umanistiche,🎨 Arte y Grandes Maestros,🎨,9,Esperto,El Mercado del Arte,"Subastas, falsificaciones, inversión",500,
Umanistiche,🎨 Arte y Grandes Maestros,🎨,10,Esperto,Arte y Tecnología: IA Creativa,"Arte generativo, NFTs, debate",500,💎 Distintivo di Diamante
Natura,🌡️ Cambio Climático,🌡️,1,Esploratore,El Efecto Invernadero,"CO₂, gases, calentamiento",100,
Natura,🌡️ Cambio Climático,🌡️,2,Esploratore,Historia del Clima en la Tierra,"Eras glaciales, ciclos naturales",100,
Natura,🌡️ Cambio Climático,🌡️,3,Esploratore,Impacto Humano,"Industria, transporte, deforestación",100,🥉 Distintivo di Bronzo
Natura,🌡️ Cambio Climático,🌡️,4,Apprendista,Deshielo y Nivel del Mar,"Polos, glaciares, ciudades en riesgo",200,
Natura,🌡️ Cambio Climático,🌡️,5,Apprendista,Fenómenos Extremos,"Huracanes, sequías, olas de calor",200,
Natura,🌡️ Cambio Climático,🌡️,6,Apprendista,Biodiversidad Amenazada,"Sexta extinción, ecosistemas en peligro",200,🥈 Distintivo d'Argento
Natura,🌡️ Cambio Climático,🌡️,7,Intenditore,Energías Renovables,"Solar, eólica, hidrógeno verde",350,
Natura,🌡️ Cambio Climático,🌡️,8,Intenditore,Acuerdos y Política Climática,"París, COP, compromisos nacionales",350,🥇 Distintivo d'Oro
Natura,🌡️ Cambio Climático,🌡️,9,Esperto,Geoingeniería,"Soluciones radicales, riesgos",500,
Natura,🌡️ Cambio Climático,🌡️,10,Esperto,Escenarios 2050-2100,"Modelos climáticos, futuros posibles",500,💎 Distintivo di Diamante
Storia,🧭 Exploración y Aventura,🧭,1,Esploratore,Los Grandes Navegantes,"Colón, Magallanes, Vasco de Gama",100,
Storia,🧭 Exploración y Aventura,🧭,2,Esploratore,Conquista de los Polos,"Amundsen, Scott, Shackleton",100,
Storia,🧭 Exploración y Aventura,🧭,3,Esploratore,Exploradores del Mundo Antiguo,"Marco Polo, Ibn Battuta, Zheng He",100,🥉 Distintivo di Bronzo
Storia,🧭 Exploración y Aventura,🧭,4,Apprendista,La Carrera Espacial,"Gagarin, Apollo 11, MIR",200,
Storia,🧭 Exploración y Aventura,🧭,5,Apprendista,Expediciones Submarinas,"Cousteau, Mariana, océanos profundos",200,
Storia,🧭 Exploración y Aventura,🧭,6,Apprendista,Exploración de Selvas y Desiertos,"Amazonia, Sahara, expediciones perdidas",200,🥈 Distintivo d'Argento
Storia,🧭 Exploración y Aventura,🧭,7,Intenditore,Montañismo Extremo,"Everest, K2, historia alpina",350,
Storia,🧭 Exploración y Aventura,🧭,8,Intenditore,Arqueología Aventurera,"Tutankamón, Machu Picchu, Pompeya",350,🥇 Distintivo d'Oro
Storia,🧭 Exploración y Aventura,🧭,9,Esperto,Exploración Robótica,"Marte, drones submarinos, cuevas",500,
Storia,🧭 Exploración y Aventura,🧭,10,Esperto,Próximas Fronteras,"Colonización espacial, océano profundo",500,💎 Distintivo di Diamante
Salute,🥗 Nutrición y Alimentación,🥗,1,Esploratore,Macronutrientes,"Proteínas, carbohidratos, grasas",100,
Salute,🥗 Nutrición y Alimentación,🥗,2,Esploratore,Vitaminas y Minerales,Micronutrientes esenciales,100,
Salute,🥗 Nutrición y Alimentación,🥗,3,Esploratore,Digestión y Metabolismo,Cómo tu cuerpo procesa los alimentos,100,🥉 Distintivo di Bronzo
Salute,🥗 Nutrición y Alimentación,🥗,4,Apprendista,Dietas del Mundo,"Mediterránea, asiática, nórdica",200,
Salute,🥗 Nutrición y Alimentación,🥗,5,Apprendista,Mitos Nutricionales,Desmentir creencias falsas,200,
Salute,🥗 Nutrición y Alimentación,🥗,6,Apprendista,Microbioma Intestinal,"Bacterias buenas, segundo cerebro",200,🥈 Distintivo d'Argento
Salute,🥗 Nutrición y Alimentación,🥗,7,Intenditore,Nutrición Deportiva,"Rendimiento, suplementos, recuperación",350,
Salute,🥗 Nutrición y Alimentación,🥗,8,Intenditore,Alimentos del Futuro,"Insectos, carne de laboratorio, algas",350,🥇 Distintivo d'Oro
Salute,🥗 Nutrición y Alimentación,🥗,9,Esperto,Nutrigenómica,ADN y alimentación personalizada,500,
Salute,🥗 Nutrición y Alimentación,🥗,10,Esperto,Hambre Global y Sostenibilidad,"Seguridad alimentaria, soluciones",500,💎 Distintivo di Diamante
Umanistiche,🎵 Música: Historia y Teoría,🎵,1,Esploratore,Los Orígenes de la Música,"Instrumentos prehistóricos, primeras melodías",100,
Umanistiche,🎵 Música: Historia y Teoría,🎵,2,Esploratore,Música Clásica: Los Grandes,"Bach, Mozart, Beethoven",100,
Umanistiche,🎵 Música: Historia y Teoría,🎵,3,Esploratore,"Ritmo, Melodía y Armonía",Fundamentos de la teoría musical,100,🥉 Distintivo di Bronzo
Umanistiche,🎵 Música: Historia y Teoría,🎵,4,Apprendista,Jazz y Blues,"Nueva Orleans, improvisación, soul",200,
Umanistiche,🎵 Música: Historia y Teoría,🎵,5,Apprendista,Rock and Roll,"Elvis, Beatles, revolución cultural",200,
Umanistiche,🎵 Música: Historia y Teoría,🎵,6,Apprendista,Música Electrónica,"Sintetizadores, DJs, géneros",200,🥈 Distintivo d'Argento
Umanistiche,🎵 Música: Historia y Teoría,🎵,7,Intenditore,Música del Mundo,"Flamenco, raga, samba, gamelan",350,
Umanistiche,🎵 Música: Historia y Teoría,🎵,8,Intenditore,La Industria Musical,"Discográficas, streaming, negocio",350,🥇 Distintivo d'Oro
Umanistiche,🎵 Música: Historia y Teoría,🎵,9,Esperto,Neurociencia de la Música,Por qué la música nos emociona,500,
Umanistiche,🎵 Música: Historia y Teoría,🎵,10,Esperto,IA y Composición Musical,"Algoritmos creativos, futuro sonoro",500,💎 Distintivo di Diamante
Natura,🌋 Volcanes y Terremotos,🌋,1,Esploratore,La Tierra por Dentro,"Capas, núcleo, manto, corteza",100,
Natura,🌋 Volcanes y Terremotos,🌋,2,Esploratore,Tectónica de Placas,"Placas en movimiento, pangea",100,
Natura,🌋 Volcanes y Terremotos,🌋,3,Esploratore,Volcanes: Tipos y Erupciones,"Escudo, estrato, fisurales",100,🥉 Distintivo di Bronzo
Natura,🌋 Volcanes y Terremotos,🌋,4,Apprendista,Grandes Erupciones de la Historia,"Pompeya, Krakatoa, Pinatubo",200,
Natura,🌋 Volcanes y Terremotos,🌋,5,Apprendista,Terremotos y Tsunamis,"Escalas, ondas sísmicas, prevención",200,
Natura,🌋 Volcanes y Terremotos,🌋,6,Apprendista,El Cinturón de Fuego,"Pacífico, zonas sísmicas activas",200,🥈 Distintivo d'Argento
Natura,🌋 Volcanes y Terremotos,🌋,7,Intenditore,Geotermia y Recursos,"Energía volcánica, minerales",350,
Natura,🌋 Volcanes y Terremotos,🌋,8,Intenditore,Supervolcanes,"Yellowstone, Toba, amenazas globales",350,🥇 Distintivo d'Oro
Natura,🌋 Volcanes y Terremotos,🌋,9,Esperto,Predicción Sísmica,"Tecnología, IA, sistemas de alerta",500,
Natura,🌋 Volcanes y Terremotos,🌋,10,Esperto,Geología Planetaria,"Volcanes en Marte, Ío, Venus",500,💎 Distintivo di Diamante
Tecnologia,🔐 Criptografía y Ciberseguridad,🔐,1,Esploratore,Historia de los Códigos Secretos,"César, Enigma, espionaje",100,
Tecnologia,🔐 Criptografía y Ciberseguridad,🔐,2,Esploratore,Criptografía Moderna,"RSA, AES, claves públicas",100,
Tecnologia,🔐 Criptografía y Ciberseguridad,🔐,3,Esploratore,Internet y Seguridad Básica,"HTTPS, contraseñas, phishing",100,🥉 Distintivo di Bronzo
Tecnologia,🔐 Criptografía y Ciberseguridad,🔐,4,Apprendista,Hackers: Mitos y Realidad,"White/black hat, ciberataques famosos",200,
Tecnologia,🔐 Criptografía y Ciberseguridad,🔐,5,Apprendista,Malware y Ransomware,"Virus, troyanos, protección",200,
Tecnologia,🔐 Criptografía y Ciberseguridad,🔐,6,Apprendista,Ingeniería Social,"Manipulación, pretexting, defensa",200,🥈 Distintivo d'Argento
Tecnologia,🔐 Criptografía y Ciberseguridad,🔐,7,Intenditore,Blockchain y Seguridad,"Descentralización, contratos inteligentes",350,
Tecnologia,🔐 Criptografía y Ciberseguridad,🔐,8,Intenditore,Ciberguerra Estatal,"Stuxnet, espionaje digital, naciones",350,🥇 Distintivo d'Oro
Tecnologia,🔐 Criptografía y Ciberseguridad,🔐,9,Esperto,Criptografía Cuántica,Computación cuántica vs cifrado actual,500,
Tecnologia,🔐 Criptografía y Ciberseguridad,🔐,10,Esperto,Privacidad Digital Total,"Anonimato, Tor, futuro de la privacidad",500,💎 Distintivo di Diamante
Salute,🏥 Medicina y Cuerpo Humano,🏥,1,Esploratore,Anatomía Básica,"Sistemas del cuerpo, órganos vitales",100,
Salute,🏥 Medicina y Cuerpo Humano,🏥,2,Esploratore,El Sistema Inmunológico,"Defensas, anticuerpos, vacunas",100,
Salute,🏥 Medicina y Cuerpo Humano,🏥,3,Esploratore,Historia de la Medicina,"Hipócrates, penicilina, cirugía",100,🥉 Distintivo di Bronzo
Salute,🏥 Medicina y Cuerpo Humano,🏥,4,Apprendista,Pandemias de la Historia,"Peste negra, gripe española, COVID",200,
Salute,🏥 Medicina y Cuerpo Humano,🏥,5,Apprendista,Cáncer: Batalla Interna,"Tipos, causas, tratamientos",200,
Salute,🏥 Medicina y Cuerpo Humano,🏥,6,Apprendista,Farmacología Básica,Cómo funcionan los medicamentos,200,🥈 Distintivo d'Argento
Salute,🏥 Medicina y Cuerpo Humano,🏥,7,Intenditore,Cirugía Robótica,"Da Vinci, precisión, futuro quirúrgico",350,
Salute,🏥 Medicina y Cuerpo Humano,🏥,8,Intenditore,Terapias Génicas,Editar ADN para curar enfermedades,350,🥇 Distintivo d'Oro
Salute,🏥 Medicina y Cuerpo Humano,🏥,9,Esperto,Neurociencia Médica,"Implantes cerebrales, neuroestimulación",500,
Salute,🏥 Medicina y Cuerpo Humano,🏥,10,Esperto,Longevidad y Anti-aging,"Telómeros, senoterapia, vivir más",500,💎 Distintivo di Diamante
Umanistiche,⚡ Mitología Universal,⚡,1,Esploratore,Mitología Griega,"Zeus, Odisea, héroes y monstruos",100,
Umanistiche,⚡ Mitología Universal,⚡,2,Esploratore,Mitología Nórdica,"Odín, Thor, Ragnarök",100,
Umanistiche,⚡ Mitología Universal,⚡,3,Esploratore,Mitología Egipcia,"Ra, Osiris, el más allá",100,🥉 Distintivo di Bronzo
Umanistiche,⚡ Mitología Universal,⚡,4,Apprendista,Mitología Romana,"Adaptación griega, fundación de Roma",200,
Umanistiche,⚡ Mitología Universal,⚡,5,Apprendista,Mitología Mesopotámica,"Gilgamesh, diluvio, creación",200,
Umanistiche,⚡ Mitología Universal,⚡,6,Apprendista,Mitología Celta y Artúrica,"Druidas, Avalon, Excalibur",200,🥈 Distintivo d'Argento
Umanistiche,⚡ Mitología Universal,⚡,7,Intenditore,Mitología Asiática,"Hinduismo, budismo, dragones chinos",350,
Umanistiche,⚡ Mitología Universal,⚡,8,Intenditore,Mitología Mesoamericana,"Quetzalcóatl, Popol Vuh, cosmos maya",350,🥇 Distintivo d'Oro
Umanistiche,⚡ Mitología Universal,⚡,9,Esperto,Arquetipos y Jung,"Inconsciente colectivo, el héroe",500,
Umanistiche,⚡ Mitología Universal,⚡,10,Esperto,Mitos Modernos,"Superhéroes, Star Wars, nuevas mitologías",500,💎 Distintivo di Diamante
Tecnologia,🦾 Robótica e Ingeniería,🦾,1,Esploratore,Historia de los Autómatas,"Da Vinci, relojería, primeros robots",100,
Tecnologia,🦾 Robótica e Ingeniería,🦾,2,Esploratore,Mecánica Básica de Robots,"Sensores, actuadores, control",100,
Tecnologia,🦾 Robótica e Ingeniería,🦾,3,Esploratore,Robots en la Industria,"Manufactura, logística, automatización",100,🥉 Distintivo di Bronzo
Tecnologia,🦾 Robótica e Ingeniería,🦾,4,Apprendista,Drones y Vehículos Autónomos,"Coches sin conductor, delivery",200,
Tecnologia,🦾 Robótica e Ingeniería,🦾,5,Apprendista,Robots Humanoides,"Boston Dynamics, Atlas, Sophia",200,
Tecnologia,🦾 Robótica e Ingeniería,🦾,6,Apprendista,Biomimética,Robots inspirados en la naturaleza,200,🥈 Distintivo d'Argento
